#    Exp. Points             HP             MP            Strength           Vitality             Magic             Spirit            Dexterity            Chance
38       130040         2005 - 2134      282 - 300        54 - 61             48 - 55            48 - 55            50 - 57             39 - 46            17 - 24
39       140725         2101 - 2230      291 - 309        55 - 62             49 - 56            49 - 56            51 - 58             40 - 47            17 - 24
40       151980         2187 - 2326      300 - 319        57 - 64             50 - 57            50 - 57            53 - 60             41 - 48            17 - 24
41       163820         2283 - 2422      309 - 328        58 - 65             51 - 58            51 - 58            54 - 61             42 - 49            17 - 24
42       178647         2404 - 2555      319 - 339        58 - 65             52 - 59            52 - 59            55 - 62             43 - 50            18 - 25
43       191877         2525 - 2688      328 - 350        58 - 65             53 - 60            53 - 60            56 - 63             44 - 51            18 - 25
44       205744         2646 - 2809      338 - 360        59 - 66             54 - 61            54 - 61            57 - 64             45 - 52            18 - 25
45       220264         2754 - 2930      349 - 371        60 - 67             55 - 62            55 - 62            58 - 65             46 - 53            19 - 26
46       235451         2875 - 3051      359 - 381        61 - 68             56 - 63            56 - 63            59 - 66             46 - 53            19 - 26
47       251321         2983 - 3172      368 - 391        62 - 69             57 - 64            57 - 64            60 - 67             47 - 54            19 - 26
48       267888         3104 - 3293      377 - 402        63 - 70             58 - 65            58 - 65            61 - 68             48 - 55            19 - 26
49       285168         3212 - 3414      387 - 412        64 - 71             59 - 66            59 - 66            62 - 69             49 - 56            19 - 26
50       303175         3333 - 3535      398 - 423        65 - 72             60 - 67            60 - 67            63 - 70             50 - 57            19 - 26
51       321925         3441 - 3656      408 - 433        66 - 73             61 - 68            61 - 68            64 - 71             50 - 57            19 - 26
52       341432         3572 - 3800      417 - 443        67 - 74             61 - 68            62 - 69            65 - 72             51 - 58            20 - 27
53       361712         3703 - 3944      426 - 454        67 - 74             62 - 69            63 - 70            66 - 73             51 - 58            20 - 27
54       382779         3834 - 4075      436 - 464        68 - 75             62 - 69            64 - 71            67 - 74             52 - 59            20 - 27
55       404649         3965 - 4206      447 - 475        69 - 76             63 - 70            65 - 72            68 - 75             53 - 60            20 - 27
56       427336         4096 - 4337      457 - 485        70 - 77             63 - 70            65 - 72            69 - 76             53 - 60            20 - 27
57       450856         4213 - 4468      466 - 495        70 - 77             64 - 71            66 - 73            69 - 76             54 - 61            20 - 27
58       475223         4344 - 4599      477 - 506        71 - 78             64 - 71            67 - 74            70 - 77             55 - 62            20 - 27
59       500453         4461 - 4730      486 - 516        72 - 79             65 - 72            67 - 74            71 - 78             55 - 62            20 - 27
60       526560         4592 - 4861      495 - 527        73 - 80             66 - 73            68 - 75            72 - 79             56 - 63            21 - 28
61       553560         4709 - 4992      505 - 537        73 - 80             66 - 73            69 - 76            72 - 79             57 - 64            21 - 28
62       581467         4814 - 5109      513 - 546        74 - 81             67 - 74            69 - 76            73 - 80             57 - 64            21 - 28
63       610297         4919 - 5226      522 - 555        75 - 82             68 - 75            70 - 77            74 - 81             57 - 64            21 - 28
64       640064         5024 - 5343      530 - 564        76 - 83             68 - 75            70 - 77            75 - 82             57 - 64            21 - 28
65       670784         5141 - 5460      540 - 574        76 - 83             69 - 76            71 - 78            75 - 82             57 - 64            21 - 28
66       702471         5246 - 5577      548 - 583        77 - 84             69 - 76            71 - 78            76 - 83             57 - 64            21 - 28
67       735141         5363 - 5694      557 - 592        77 - 84             69 - 76            71 - 78            76 - 83             58 - 65            21 - 28
68       768808         5468 - 5811      565 - 601        77 - 84             70 - 77            72 - 79            77 - 84             58 - 65            21 - 28
69       803488         5573 - 5928      574 - 610        78 - 85             70 - 77            72 - 79            77 - 84             58 - 65            21 - 28
70       839195         5690 - 6045      583 - 620        78 - 85             70 - 77            72 - 79            78 - 85             58 - 65            22 - 29
71       875945         5795 - 6162      592 - 629        79 - 86             71 - 78            73 - 80            79 - 86             59 - 66            22 - 29
72       913752         5912 - 6279      600 - 638        79 - 86             71 - 78            73 - 80            79 - 86             59 - 66            22 - 29
73       952632         6017 - 6396      609 - 647        80 - 87             71 - 78            74 - 81            80 - 87             59 - 66            22 - 29
74       992599         6134 - 6513      617 - 656        80 - 87             71 - 78            74 - 81            80 - 87             59 - 66            22 - 29
75       1033669        6239 - 6630      626 - 666        81 - 88             72 - 79            74 - 81            81 - 88             60 - 67            22 - 29
76       1075856        6356 - 6747      635 - 675        81 - 88             72 - 79            75 - 82            81 - 88             60 - 67            22 - 29
77       1119176        6461 - 6864      643 - 684        81 - 88             72 - 79            75 - 82            82 - 89             60 - 67            22 - 29
78       1163643        6578 - 6981      652 - 693        82 - 89             73 - 80            75 - 82            82 - 89             61 - 68            22 - 29
79       1209273        6683 - 7098      660 - 702        82 - 89             73 - 80            76 - 83            83 - 90             61 - 68            22 - 29
80       1256080        6788 - 7215      670 - 712        83 - 90             73 - 80            76 - 83            84 - 91             61 - 68            23 - 30
81       1304080        6905 - 7332      678 - 721        83 - 90             74 - 81            76 - 83            84 - 91             61 - 68            23 - 30
82       1371319        6997 - 7433      685 - 728        84 - 91             74 - 81            77 - 84            84 - 91             61 - 68            23 - 30
83       1422421        7089 - 7534      691 - 735        84 - 91             74 - 81            77 - 84            84 - 91             61 - 68            23 - 30
84       1474777        7181 - 7635      698 - 742        85 - 92             75 - 82            78 - 85            84 - 91             61 - 68            23 - 30
85       1528402        7273 - 7736      706 - 750        85 - 92             75 - 82            78 - 85            84 - 91             61 - 68            23 - 30
86       1583312        7365 - 7837      712 - 757        85 - 92             75 - 82            78 - 85            84 - 91             62 - 69            23 - 30
87       1639521        7457 - 7929      719 - 764        85 - 92             75 - 82            79 - 86            84 - 91             62 - 69            23 - 30
88       1697045        7549 - 8021      725 - 771        86 - 93             76 - 83            79 - 86            84 - 91             62 - 69            23 - 30
89       1755899        7641 - 8113      732 - 778        86 - 93             76 - 83            79 - 86            85 - 92             62 - 69            23 - 30
90       1816098        7733 - 8205      740 - 786        86 - 93             76 - 83            80 - 87            85 - 92             62 - 69            23 - 30
91       1877658        7825 - 8297      746 - 793        87 - 94             76 - 83            80 - 87            86 - 93             63 - 70            23 - 30
92       1940593        7907 - 8389      753 - 800        87 - 94             77 - 84            80 - 87            86 - 93             63 - 70            23 - 30
93       2004919        7999 - 8481      759 - 807        87 - 94             77 - 84            80 - 87            86 - 93             63 - 70            23 - 30
94       2070651        8081 - 8573      766 - 814        88 - 95             77 - 84            81 - 88            87 - 94             63 - 70            23 - 30
95       2137804        8173 - 8665      774 - 822        88 - 95             77 - 84            81 - 88            87 - 94             63 - 70            23 - 30
96       2206394        8255 - 8757      780 - 829        88 - 95             78 - 85            81 - 88            88 - 95             64 - 71            23 - 30
97       2276435        8347 - 8849      787 - 836        89 - 96             78 - 85            82 - 89            88 - 95             64 - 71            23 - 30
98       2347943        8429 - 8941      793 - 843        89 - 96             78 - 85            82 - 89            89 - 96             64 - 71            23 - 30
99       2420933        8521 - 9033      800 - 850        89 - 96             78 - 85            82 - 89            89 - 96             64 - 71            23 - 30

